;problem_seed;num_features;num_items;item_sphere_size;method;query_seed;K;gamma;gamma_normalized;method_objval;mmu_objval;mmu_objval_ub;mmu_objval_lb;mmr_objval;mmr_objval_ub;mmr_objval_lb;mmu_prob_random_wins;mmr_prob_random_wins;query_list;solve_time;mmu_objective_eval_time;mmr_objective_eval_time;expt_params;mmr_ub;mmr_lb;mmu_ub;mmu_lb;mmr_objval_normalized_new
0;0;5;10;10.0;mmr_heuristic;None;1;0.0;0.0;19.44817538908257;None;None;None;19.4481753890826;31.89062210881238;0.0;None;1.0;[(7, 8)];4.545208930969238;None;0.7436730861663818;(0.0, 10.0, 5.0, 10.0);31.890622108812384;0;;;0.6098399498988907
1;0;5;10;10.0;mmr_heuristic;None;2;0.0;0.0;19.4481753890826;None;None;None;19.4481753890826;31.89062210881238;0.0;None;1.0;[(7, 8), (1, 4)];26.94647192955017;None;0.8446333408355713;(0.0, 10.0, 5.0, 10.0);31.890622108812384;0;;;0.6098399498988907
2;0;5;10;10.0;mmr_heuristic;None;3;0.0;0.0;18.877293395880915;None;None;None;18.877293395880915;31.89062210881238;0.0;None;1.0;[(7, 8), (1, 4), (5, 6)];85.66494369506836;None;7.852455615997314;(0.0, 10.0, 5.0, 10.0);31.890622108812384;0;;;0.5919387000815053
3;0;5;10;10.0;mmr_heuristic;None;4;0.0;0.0;17.276709500480134;None;None;None;17.276709500480134;31.89062210881238;0.0;None;1.0;[(7, 8), (1, 4), (5, 6), (3, 6)];138.3370566368103;None;11.824994802474976;(0.0, 10.0, 5.0, 10.0);31.890622108812384;0;;;0.5417489016530046
4;0;5;10;10.0;mmr_heuristic;None;5;0.0;0.0;16.638282502521566;None;None;None;16.638282502521566;31.89062210881238;0.0;None;1.0;[(7, 8), (1, 4), (5, 6), (3, 6), (2, 8)];189.84459161758426;None;27.139530658721924;(0.0, 10.0, 5.0, 10.0);31.890622108812384;0;;;0.5217296309162901
5;0;5;10;10.0;mmr_heuristic;None;6;0.0;0.0;16.0422253179933;None;None;None;16.0422253179933;31.89062210881238;0.0;None;1.0;[(7, 8), (1, 4), (5, 6), (3, 6), (2, 8), (8, 9)];316.43295001983637;None;34.01210236549377;(0.0, 10.0, 5.0, 10.0);31.890622108812384;0;;;0.5030389580754001
6;0;5;10;10.0;mmr_heuristic;None;7;0.0;0.0;15.171832007267295;None;None;None;15.171832007267295;31.89062210881238;0.0;None;1.0;[(7, 8), (1, 4), (5, 6), (3, 6), (2, 8), (8, 9), (0, 5)];436.5969502925873;None;71.62278342247009;(0.0, 10.0, 5.0, 10.0);31.890622108812384;0;;;0.4757458777536622
7;0;5;10;10.0;mmr_heuristic;None;8;0.0;0.0;14.396173759211134;None;None;None;14.396173759211134;31.89062210881238;0.0;None;1.0;[(7, 8), (1, 4), (5, 6), (3, 6), (2, 8), (8, 9), (0, 5), (2, 7)];693.2631947994232;None;74.98656606674193;(0.0, 10.0, 5.0, 10.0);31.890622108812384;0;;;0.4514234219103872
8;0;5;10;10.0;mmr_heuristic;None;9;0.0;0.0;13.833309731287684;None;None;None;13.833309731287684;31.89062210881238;0.0;None;1.0;[(7, 8), (1, 4), (5, 6), (3, 6), (2, 8), (8, 9), (0, 5), (2, 7), (2, 9)];966.181202173233;None;74.67698335647583;(0.0, 10.0, 5.0, 10.0);31.890622108812384;0;;;0.4337735928790522
9;0;5;10;10.0;mmr_heuristic;None;10;0.0;0.0;13.403610931255734;None;None;None;13.403610931255734;31.89062210881238;0.0;None;1.0;[(7, 8), (1, 4), (5, 6), (3, 6), (2, 8), (8, 9), (0, 5), (2, 7), (2, 9), (2, 3)];1158.4901597499847;None;85.1387195587158;(0.0, 10.0, 5.0, 10.0);31.890622108812384;0;;;0.4202994499612441
10;0;5;10;10.0;random;None;1;0.0;0.0;0.0;None;None;None;28.282680202915174;31.89062210881238;0.0;None;1.0;[(4, 5)];0.0;None;4.471235275268555;(0.0, 10.0, 5.0, 10.0);31.890622108812384;0;;;0.8868651137131558
11;0;5;10;10.0;random;None;2;0.0;0.0;0.0;None;None;None;25.06412969132999;31.89062210881238;0.0;None;1.0;[(4, 5), (5, 8)];0.0;None;5.15459942817688;(0.0, 10.0, 5.0, 10.0);31.890622108812384;0;;;0.78594044373954
12;0;5;10;10.0;random;None;3;0.0;0.0;0.0;None;None;None;25.053811131724714;31.89062210881238;0.0;None;1.0;[(4, 5), (5, 8), (3, 7)];0.0;None;8.201863288879395;(0.0, 10.0, 5.0, 10.0);31.890622108812384;0;;;0.7856168828014665
13;0;5;10;10.0;random;None;4;0.0;0.0;0.0;None;None;None;22.143346435881586;31.89062210881238;0.0;None;1.0;[(4, 5), (5, 8), (3, 7), (0, 5)];0.0;None;9.025233268737793;(0.0, 10.0, 5.0, 10.0);31.890622108812384;0;;;0.6943529154222012
